episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
1042,True,False,426,117
1043,True,False,842,55
1044,True,False,821,45
1045,True,False,662,51
1046,True,False,613,58
1047,True,False,431,160
1048,True,False,1065,61
1049,True,False,725,74
1050,True,False,546,36
1051,True,False,889,90
1052,True,False,1005,71
1053,True,False,874,71
1054,False,True,-56,23
1055,True,False,1018,69
1056,True,False,782,114
1057,True,False,577,106
1058,True,False,718,132
1059,True,False,663,88
1060,True,False,921,59
1061,False,True,-76,53
1062,False,True,7,50
1063,True,False,810,79
1064,True,False,604,107
1065,True,False,793,43
1066,True,False,1003,56
1067,True,False,581,71
1068,True,False,709,82
1069,True,False,910,69
1070,True,False,616,42
1071,True,False,588,52
1072,True,False,679,52
1073,False,True,-392,108
1074,True,False,860,62
1075,True,False,673,163
1076,True,False,680,48
1077,False,True,-729,200
1078,True,False,1053,78
1079,True,False,629,103
1080,True,False,1112,77
1081,True,False,853,68
1082,True,False,783,105
1083,True,False,941,47
1084,True,False,1079,69
1085,True,False,907,66
1086,True,False,768,104
1087,False,True,-14,54
1088,True,False,707,69
1089,True,False,905,45
1090,True,False,682,113
1091,True,False,749,30
1092,True,False,969,71
1093,False,True,-168,105
1094,True,False,663,56
1095,True,False,673,89
1096,True,False,650,57
1097,False,True,40,33
1098,True,False,969,74
1099,True,False,856,73
1100,True,False,951,91
