episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
237,True,False,911,44,,,
238,True,False,724,39,,,
239,True,False,1083,61,,,
240,False,True,-256,44,,,
241,False,True,-104,46,,,
242,True,False,628,44,,,
243,True,False,578,42,,,
244,True,False,898,49,,,
245,True,False,618,52,,,
246,False,True,5,27,,,
247,False,True,202,45,,,
248,False,True,-54,31,,,
249,True,False,824,64,,,
250,False,True,22,24,,,
251,False,True,156,39,,,
252,True,False,727,41,,,
253,True,False,863,40,,,
254,True,False,861,39,,,
255,False,True,228,49,,,
256,True,False,580,47,,,
257,True,False,845,38,,,
258,True,False,871,46,,,
259,True,False,768,31,,,
260,True,False,908,56,,,
261,True,False,723,26,,,
262,True,False,858,52,,,
263,False,True,-79,37,,,
264,True,False,797,51,,,
265,True,False,1182,74,,,
266,False,True,208,47,,,
267,True,False,715,25,,,
268,False,True,83,45,,,
269,True,False,1019,55,,,
270,False,True,-126,25,,,
271,False,True,88,38,,,
272,False,True,-173,34,,,
273,False,True,-64,25,,,
274,True,False,858,42,,,
275,True,False,677,34,,,
276,True,False,584,31,,,
277,False,True,127,37,,,
278,True,False,621,26,,,
279,True,False,765,37,,,
280,True,False,654,46,,,
281,True,False,711,55,,,
282,False,True,-47,38,,,
283,True,False,789,31,,,
284,True,False,849,38,,,
285,False,True,172,69,,,
286,True,False,807,36,,,
287,True,False,1131,76,,,
288,True,False,875,33,,,
289,True,False,785,56,,,
290,False,True,-19,23,,,
291,True,False,901,46,,,
292,False,True,165,41,,,
293,False,True,2,65,,,
294,True,False,890,45,,,
295,True,False,913,60,,,
296,False,True,25,33,,,
297,False,True,162,40,,,
298,True,False,1020,58,,,
299,True,False,842,38,,,
300,True,False,824,35,,,
301,True,False,1035,56,,,
302,True,False,909,42,,,
303,True,False,899,46,,,
304,True,False,872,87,,,
305,True,False,1033,68,,,
306,True,False,972,56,,,
307,True,False,842,31,,,
308,True,False,759,28,,,
309,True,False,718,42,,,
310,False,True,143,39,,,
311,True,False,724,53,,,
312,True,False,691,49,,,
313,True,False,701,28,,,
314,True,False,811,34,,,
315,True,False,856,75,,,
316,False,True,28,27,,,
317,True,False,700,47,,,
318,False,True,41,28,,,
319,False,True,-194,22,,,
320,True,False,805,37,,,
321,False,True,7,25,,,
322,False,True,182,42,,,
323,True,False,616,28,,,
324,True,False,873,43,,,
325,True,False,1020,57,,,
326,True,False,670,61,,,
327,True,False,590,64,,,
328,True,False,762,29,,,
329,True,False,711,40,,,
330,True,False,846,47,,,
331,True,False,806,34,,,
332,True,False,862,90,,,
333,False,True,-28,44,,,
334,True,False,714,25,,,
335,True,False,779,39,,,
336,True,False,975,48,,,
337,True,False,794,71,,,
338,True,False,673,77,,,
339,True,False,827,36,,,
340,True,False,616,39,,,
341,True,False,675,53,,,
342,True,False,889,42,,,
343,True,False,785,66,,,
344,True,False,687,37,,,
345,True,False,700,47,,,
346,True,False,852,81,,,
347,False,True,18,37,,,
348,True,False,660,28,,,
349,True,False,869,41,,,
350,True,False,843,66,,,
